"61273c8","Chrissquared31","Sat, 29 Apr 2023 17:12:45 -0400","fixed mailchimpintegration playwright test",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"ac65f0f","D'Angelo Morales","Sat, 29 Apr 2023 14:20:16 -0400","Edited Hero Text and instructor photos",	 4 files changed, 5 insertions(+), 5 deletions(-)	
"f036fe8","D'Angelo Morales","Sat, 29 Apr 2023 14:02:51 -0400","Edited the subscribe form",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"0383cbe","D'Angelo Morales","Sat, 29 Apr 2023 13:52:17 -0400","Added text to courses",	 1 file changed, 6 insertions(+), 8 deletions(-)	
"8619da9","Chrissquared31","Wed, 26 Apr 2023 20:12:33 -0400","added more playwright tests, works on localhost",	 2 files changed, 43 insertions(+), 42 deletions(-)	
"70c153d","Chrissquared31","Wed, 26 Apr 2023 13:45:39 -0400","fixed plauwright test, added correct titltes for web pages, note to self when testing playwrights locally chang pplaywright.config.js file to port: 3001",	 4 files changed, 50 insertions(+), 5 deletions(-)	
"a6607b2","Chrissquared31","Tue, 25 Apr 2023 19:57:53 -0400","hopefully playwright fixes",	 1 file changed, 22 insertions(+), 37 deletions(-)	
"d7ed5e6","Chrissquared31","Tue, 25 Apr 2023 15:18:29 -0400","added playwright tests",	 3 files changed, 20 insertions(+), 21 deletions(-)	
"80afb70","Chrissquared31","Tue, 25 Apr 2023 15:13:06 -0400","added playwright tests",	 1 file changed, 43 insertions(+), 52 deletions(-)	
"81451ad","Chrissquared31","Tue, 25 Apr 2023 15:05:55 -0400","added playwright tests",	 3 files changed, 54 insertions(+), 1 deletion(-)	
"a925cca","Chrissquared31","Tue, 25 Apr 2023 12:24:56 -0400","Rename Agile-Documentation to Agile-Documentation.md",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"640592d","Chrissquared31","Tue, 25 Apr 2023 12:24:03 -0400","Create Agile-Documentation",	 1 file changed, 40 insertions(+)	
"e1c3421","D'Angelo","Tue, 25 Apr 2023 12:14:04 -0400","Update GoogleAnalytics_Documentation.md",	 1 file changed, 1 insertion(+), 2 deletions(-)	
"0e7bdc2","D'Angelo Morales","Tue, 25 Apr 2023 12:12:43 -0400","Google Analytics Documentation and Report PDF)",	 2 files changed, 67 insertions(+)	
"7ecd9fc","Chrissquared31","Tue, 25 Apr 2023 11:58:19 -0400","added more tests for page titles",	 3 files changed, 12 insertions(+), 4 deletions(-)	
"292ed6e","Chrissquared31","Tue, 25 Apr 2023 11:48:18 -0400","fixed title of instructors.js",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"736d68a","Chrissquared31","Mon, 24 Apr 2023 23:03:09 -0400","added goals page, changed names of about page, changed images and content",	 7 files changed, 263 insertions(+), 163 deletions(-)	
"ef09665","Chrissquared31","Thu, 13 Apr 2023 22:17:24 -0400","made website more efficient and faster",	 1 file changed, 22 insertions(+), 20 deletions(-)	
"007cffc","Chrissquared31","Thu, 13 Apr 2023 12:26:14 -0400","PERFORMANCE FIX: fixing google API performance issues",	 1 file changed, 19 insertions(+), 15 deletions(-)	
"532759e","Chrissquared31","Thu, 13 Apr 2023 11:44:47 -0400","BUG FIX: fixed smooth scroll for instructor 1",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"c4dbec8","Chrissquared31","Thu, 13 Apr 2023 11:33:18 -0400","TEST: bug fix for images 4.0",	 1 file changed, 48 insertions(+), 15 deletions(-)	
"8f7128c","Chrissquared31","Thu, 13 Apr 2023 11:27:35 -0400","TEST: bug fix for images 3.0",	 1 file changed, 6 insertions(+), 4 deletions(-)	
"a08dabc","Chrissquared31","Thu, 13 Apr 2023 11:21:04 -0400","TEST: bug fix for images 2.0",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"ace4827","Chrissquared31","Thu, 13 Apr 2023 11:10:43 -0400","TEST: bug fix for images",	 2 files changed, 4 insertions(+), 4 deletions(-)	
"df0f0c6","Chrissquared31","Tue, 11 Apr 2023 15:14:47 -0400","edit to title in about.js to pass playwright test",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"13df120","Chrissquared31","Tue, 11 Apr 2023 15:06:48 -0400","fixed playwright file and the playwright workflow",	 4 files changed, 22 insertions(+), 140 deletions(-)	
"36ddd26","Chrissquared31","Tue, 11 Apr 2023 15:00:45 -0400","integrated code, fixed bugs/errors, Mailchimp opperational with new UI",	 7 files changed, 171 insertions(+), 65 deletions(-)	
"27265e2","Chrissquared31","Tue, 11 Apr 2023 12:13:24 -0400","Deleted unused files",	 2 files changed, 108 deletions(-)	
"3fc4d39","D'Angelo","Tue, 11 Apr 2023 00:53:54 -0400","workflow1.yml",	 1 file changed, 24 insertions(+)	
"2ad1afc","D'Angelo Morales","Tue, 11 Apr 2023 00:37:57 -0400","Successfully added cookies",	 6 files changed, 71 insertions(+), 4 deletions(-)	
"68bf58f","D'Angelo Morales","Tue, 11 Apr 2023 00:06:01 -0400","Added Google Analytics Successfully",	 6 files changed, 64 insertions(+), 1 deletion(-)	
"a735680","D'Angelo Morales","Mon, 10 Apr 2023 23:15:57 -0400","Finished up the website UX/UI draft for the most part",	 8 files changed, 972 insertions(+), 61 deletions(-)	
"6b622c1","D'Angelo Morales","Mon, 10 Apr 2023 18:53:28 -0400","Added Internationalization",	 6 files changed, 30 insertions(+), 10 deletions(-)	
"abcdc51","D'Angelo Morales","Mon, 10 Apr 2023 18:16:11 -0400","Baseline for Internationalization",	 6 files changed, 392 insertions(+), 9 deletions(-)	
"de64fc2","D'Angelo Morales","Mon, 10 Apr 2023 16:10:44 -0400","Json changes",	 2 files changed, 67 insertions(+), 111 deletions(-)	
"d10d9b0","D'Angelo Morales","Fri, 7 Apr 2023 20:11:45 -0400","Added .idea to gitignore",	 1 file changed, 1 insertion(+)	
"52a25a9","github-classroom[bot]","Wed, 5 Apr 2023 22:41:31 +0000","Initial commit",	 34 files changed, 6660 insertions(+)	
